,name,Sector
0,MMM,Industrials
1,AOS,Industrials
2,ABT,Health Care
3,ABBV,Health Care
4,ACN,Information Technology
5,ATVI,Information Technology
6,AYI,Industrials
7,ADBE,Information Technology
8,AAP,Consumer Discretionary
9,AMD,Information Technology
10,AES,Utilities
11,AET,Health Care
12,AMG,Financials
13,AFL,Financials
14,A,Health Care
15,APD,Materials
16,AKAM,Information Technology
17,ALK,Industrials
18,ALB,Materials
19,ARE,Real Estate
20,ALXN,Health Care
21,ALGN,Health Care
22,ALLE,Industrials
23,AGN,Health Care
24,ADS,Information Technology
25,LNT,Utilities
26,ALL,Financials
27,GOOGL,Information Technology
28,GOOG,Information Technology
29,MO,Consumer Staples
30,AMZN,Consumer Discretionary
31,AEE,Utilities
32,AAL,Industrials
33,AEP,Utilities
34,AXP,Financials
35,AIG,Financials
36,AMT,Real Estate
37,AWK,Utilities
38,AMP,Financials
39,ABC,Health Care
40,AME,Industrials
41,AMGN,Health Care
42,APH,Information Technology
43,APC,Energy
44,ADI,Information Technology
45,ANDV,Energy
46,ANSS,Information Technology
47,ANTM,Health Care
48,AON,Financials
49,APA,Energy
50,AIV,Real Estate
51,AAPL,Information Technology
52,AMAT,Information Technology
53,APTV,Consumer Discretionary
54,ADM,Consumer Staples
55,ARNC,Industrials
56,AJG,Financials
57,AIZ,Financials
58,T,Telecommunication Services
59,ADSK,Information Technology
60,ADP,Information Technology
61,AZO,Consumer Discretionary
62,AVB,Real Estate
63,AVY,Materials
64,BHGE,Energy
65,BLL,Materials
66,BAC,Financials
67,BAX,Health Care
68,BBT,Financials
69,BDX,Health Care
70,BRK.B,Financials
71,BBY,Consumer Discretionary
72,BIIB,Health Care
73,BLK,Financials
74,HRB,Financials
75,BA,Industrials
76,BWA,Consumer Discretionary
77,BXP,Real Estate
78,BSX,Health Care
79,BHF,Financials
80,BMY,Health Care
81,AVGO,Information Technology
82,BF.B,Consumer Staples
83,CHRW,Industrials
84,CA,Information Technology
85,COG,Energy
86,CDNS,Information Technology
87,CPB,Consumer Staples
88,COF,Financials
89,CAH,Health Care
90,KMX,Consumer Discretionary
91,CCL,Consumer Discretionary
92,CAT,Industrials
93,CBOE,Financials
94,CBG,Real Estate
95,CBS,Consumer Discretionary
96,CELG,Health Care
97,CNC,Health Care
98,CNP,Utilities
99,CTL,Telecommunication Services
100,CERN,Health Care
101,CF,Materials
102,SCHW,Financials
103,CHTR,Consumer Discretionary
104,CHK,Energy
105,CVX,Energy
106,CMG,Consumer Discretionary
107,CB,Financials
108,CHD,Consumer Staples
109,CI,Health Care
110,XEC,Energy
111,CINF,Financials
112,CTAS,Industrials
113,CSCO,Information Technology
114,C,Financials
115,CFG,Financials
116,CTXS,Information Technology
117,CME,Financials
118,CMS,Utilities
119,KO,Consumer Staples
120,CTSH,Information Technology
121,CL,Consumer Staples
122,CMCSA,Consumer Discretionary
123,CMA,Financials
124,CAG,Consumer Staples
125,CXO,Energy
126,COP,Energy
127,ED,Utilities
128,STZ,Consumer Staples
129,GLW,Information Technology
130,COST,Consumer Staples
131,COTY,Consumer Staples
132,CCI,Real Estate
133,CSRA,Information Technology
134,CSX,Industrials
135,CMI,Industrials
136,CVS,Consumer Staples
137,DHI,Consumer Discretionary
138,DHR,Health Care
139,DRI,Consumer Discretionary
140,DVA,Health Care
141,DE,Industrials
142,DAL,Industrials
143,XRAY,Health Care
144,DVN,Energy
145,DLR,Real Estate
146,DFS,Financials
147,DISCA,Consumer Discretionary
148,DISCK,Consumer Discretionary
149,DISH,Consumer Discretionary
150,DG,Consumer Discretionary
151,DLTR,Consumer Discretionary
152,D,Utilities
153,DOV,Industrials
154,DWDP,Materials
155,DPS,Consumer Staples
156,DTE,Utilities
157,DUK,Utilities
158,DRE,Real Estate
159,DXC,Information Technology
160,ETFC,Financials
161,EMN,Materials
162,ETN,Industrials
163,EBAY,Information Technology
164,ECL,Materials
165,EIX,Utilities
166,EW,Health Care
167,EA,Information Technology
168,EMR,Industrials
169,ETR,Utilities
170,EVHC,Health Care
171,EOG,Energy
172,EQT,Energy
173,EFX,Industrials
174,EQIX,Real Estate
175,EQR,Real Estate
176,ESS,Real Estate
177,EL,Consumer Staples
178,RE,Financials
179,ES,Utilities
180,EXC,Utilities
181,EXPE,Consumer Discretionary
182,EXPD,Industrials
183,ESRX,Health Care
184,EXR,Real Estate
185,XOM,Energy
186,FFIV,Information Technology
187,FB,Information Technology
188,FAST,Industrials
189,FRT,Real Estate
190,FDX,Industrials
191,FIS,Information Technology
192,FITB,Financials
193,FE,Utilities
194,FISV,Information Technology
195,FLIR,Information Technology
196,FLS,Industrials
197,FLR,Industrials
198,FMC,Materials
199,FL,Consumer Discretionary
200,F,Consumer Discretionary
201,FTV,Industrials
202,FBHS,Industrials
203,BEN,Financials
204,FCX,Materials
205,GPS,Consumer Discretionary
206,GRMN,Consumer Discretionary
207,IT,Information Technology
208,GD,Industrials
209,GE,Industrials
210,GGP,Real Estate
211,GIS,Consumer Staples
212,GM,Consumer Discretionary
213,GPC,Consumer Discretionary
214,GILD,Health Care
215,GPN,Information Technology
216,GS,Financials
217,GT,Consumer Discretionary
218,GWW,Industrials
219,HAL,Energy
220,HBI,Consumer Discretionary
221,HOG,Consumer Discretionary
222,HRS,Information Technology
223,HIG,Financials
224,HAS,Consumer Discretionary
225,HCA,Health Care
226,HCP,Real Estate
227,HP,Energy
228,HSIC,Health Care
229,HES,Energy
230,HPE,Information Technology
231,HLT,Consumer Discretionary
232,HOLX,Health Care
233,HD,Consumer Discretionary
234,HON,Industrials
235,HRL,Consumer Staples
236,HST,Real Estate
237,HPQ,Information Technology
238,HUM,Health Care
239,HBAN,Financials
240,HII,Industrials
241,IDXX,Health Care
242,INFO,Industrials
243,ITW,Industrials
244,ILMN,Health Care
245,INCY,Health Care
246,IR,Industrials
247,INTC,Information Technology
248,ICE,Financials
249,IBM,Information Technology
250,IP,Materials
251,IPG,Consumer Discretionary
252,IFF,Materials
253,INTU,Information Technology
254,ISRG,Health Care
255,IVZ,Financials
256,IQV,Health Care
257,IRM,Real Estate
258,JBHT,Industrials
259,JEC,Industrials
260,SJM,Consumer Staples
261,JNJ,Health Care
262,JCI,Industrials
263,JPM,Financials
264,JNPR,Information Technology
265,KSU,Industrials
266,K,Consumer Staples
267,KEY,Financials
268,KMB,Consumer Staples
269,KIM,Real Estate
270,KMI,Energy
271,KLAC,Information Technology
272,KSS,Consumer Discretionary
273,KHC,Consumer Staples
274,KR,Consumer Staples
275,LB,Consumer Discretionary
276,LLL,Industrials
277,LH,Health Care
278,LRCX,Information Technology
279,LEG,Consumer Discretionary
280,LEN,Consumer Discretionary
281,LUK,Financials
282,LLY,Health Care
283,LNC,Financials
284,LKQ,Consumer Discretionary
285,LMT,Industrials
286,L,Financials
287,LOW,Consumer Discretionary
288,LYB,Materials
289,MTB,Financials
290,MAC,Real Estate
291,M,Consumer Discretionary
292,MRO,Energy
293,MPC,Energy
294,MAR,Consumer Discretionary
295,MMC,Financials
296,MLM,Materials
297,MAS,Industrials
298,MA,Information Technology
299,MAT,Consumer Discretionary
300,MKC,Consumer Staples
301,MCD,Consumer Discretionary
302,MCK,Health Care
303,MDT,Health Care
304,MRK,Health Care
305,MET,Financials
306,MTD,Health Care
307,MGM,Consumer Discretionary
308,KORS,Consumer Discretionary
309,MCHP,Information Technology
310,MU,Information Technology
311,MSFT,Information Technology
312,MAA,Real Estate
313,MHK,Consumer Discretionary
314,TAP,Consumer Staples
315,MDLZ,Consumer Staples
316,MON,Materials
317,MNST,Consumer Staples
318,MCO,Financials
319,MS,Financials
320,MSI,Information Technology
321,MYL,Health Care
322,NDAQ,Financials
323,NOV,Energy
324,NAVI,Financials
325,NTAP,Information Technology
326,NFLX,Information Technology
327,NWL,Consumer Discretionary
328,NFX,Energy
329,NEM,Materials
330,NWSA,Consumer Discretionary
331,NWS,Consumer Discretionary
332,NEE,Utilities
333,NLSN,Industrials
334,NKE,Consumer Discretionary
335,NI,Utilities
336,NBL,Energy
337,JWN,Consumer Discretionary
338,NSC,Industrials
339,NTRS,Financials
340,NOC,Industrials
341,NCLH,Consumer Discretionary
342,NRG,Utilities
343,NUE,Materials
344,NVDA,Information Technology
345,ORLY,Consumer Discretionary
346,OXY,Energy
347,OMC,Consumer Discretionary
348,OKE,Energy
349,ORCL,Information Technology
350,PCAR,Industrials
351,PKG,Materials
352,PH,Industrials
353,PDCO,Health Care
354,PAYX,Information Technology
355,PYPL,Information Technology
356,PNR,Industrials
357,PBCT,Financials
358,PEP,Consumer Staples
359,PKI,Health Care
360,PRGO,Health Care
361,PFE,Health Care
362,PCG,Utilities
363,PM,Consumer Staples
364,PSX,Energy
365,PNW,Utilities
366,PXD,Energy
367,PNC,Financials
368,RL,Consumer Discretionary
369,PPG,Materials
370,PPL,Utilities
371,PX,Materials
372,PCLN,Consumer Discretionary
373,PFG,Financials
374,PG,Consumer Staples
375,PGR,Financials
376,PLD,Real Estate
377,PRU,Financials
378,PEG,Utilities
379,PSA,Real Estate
380,PHM,Consumer Discretionary
381,PVH,Consumer Discretionary
382,QRVO,Information Technology
383,QCOM,Information Technology
384,PWR,Industrials
385,DGX,Health Care
386,RRC,Energy
387,RJF,Financials
388,RTN,Industrials
389,O,Real Estate
390,RHT,Information Technology
391,REG,Real Estate
392,REGN,Health Care
393,RF,Financials
394,RSG,Industrials
395,RMD,Health Care
396,RHI,Industrials
397,ROK,Industrials
398,COL,Industrials
399,ROP,Industrials
400,ROST,Consumer Discretionary
401,RCL,Consumer Discretionary
402,SPGI,Financials
403,CRM,Information Technology
404,SBAC,Real Estate
405,SCG,Utilities
406,SLB,Energy
407,SNI,Consumer Discretionary
408,STX,Information Technology
409,SEE,Materials
410,SRE,Utilities
411,SHW,Materials
412,SIG,Consumer Discretionary
413,SPG,Real Estate
414,SWKS,Information Technology
415,SLG,Real Estate
416,SNA,Consumer Discretionary
417,SO,Utilities
418,LUV,Industrials
419,SWK,Consumer Discretionary
420,SBUX,Consumer Discretionary
421,STT,Financials
422,SRCL,Industrials
423,SYK,Health Care
424,STI,Financials
425,SYMC,Information Technology
426,SYF,Financials
427,SNPS,Information Technology
428,SYY,Consumer Staples
429,TROW,Financials
430,TPR,Consumer Discretionary
431,TGT,Consumer Discretionary
432,TEL,Information Technology
433,FTI,Energy
434,TXN,Information Technology
435,TXT,Industrials
436,BK,Financials
437,CLX,Consumer Staples
438,COO,Health Care
439,HSY,Consumer Staples
440,MOS,Materials
441,TRV,Financials
442,DIS,Consumer Discretionary
443,TMO,Health Care
444,TIF,Consumer Discretionary
445,TWX,Consumer Discretionary
446,TJX,Consumer Discretionary
447,TMK,Financials
448,TSS,Information Technology
449,TSCO,Consumer Discretionary
450,TDG,Industrials
451,TRIP,Consumer Discretionary
452,FOXA,Consumer Discretionary
453,FOX,Consumer Discretionary
454,TSN,Consumer Staples
455,USB,Financials
456,UDR,Real Estate
457,ULTA,Consumer Discretionary
458,UAA,Consumer Discretionary
459,UA,Consumer Discretionary
460,UNP,Industrials
461,UAL,Industrials
462,UNH,Health Care
463,UPS,Industrials
464,URI,Industrials
465,UTX,Industrials
466,UHS,Health Care
467,UNM,Financials
468,VFC,Consumer Discretionary
469,VLO,Energy
470,VAR,Health Care
471,VTR,Real Estate
472,VRSN,Information Technology
473,VRSK,Industrials
474,VZ,Telecommunication Services
475,VRTX,Health Care
476,VIAB,Consumer Discretionary
477,V,Information Technology
478,VNO,Real Estate
479,VMC,Materials
480,WMT,Consumer Staples
481,WBA,Consumer Staples
482,WM,Industrials
483,WAT,Health Care
484,WEC,Utilities
485,WFC,Financials
486,HCN,Real Estate
487,WDC,Information Technology
488,WU,Information Technology
489,WRK,Materials
490,WY,Real Estate
491,WHR,Consumer Discretionary
492,WMB,Energy
493,WLTW,Financials
494,WYN,Consumer Discretionary
495,WYNN,Consumer Discretionary
496,XEL,Utilities
497,XRX,Information Technology
498,XLNX,Information Technology
499,XL,Financials
500,XYL,Industrials
501,YUM,Consumer Discretionary
502,ZBH,Health Care
503,ZION,Financials
504,ZTS,Health Care
